,day,dayofweek,hourofday,month,year,Customer,Subscriber,US_holiday,NY_holiday,NY_workday,US_workday
0,1,0,0,7,2013,90.0,139.0,0,0,1,1
1,1,0,1,7,2013,35.0,71.0,0,0,1,1
2,1,0,2,7,2013,34.0,40.0,0,0,1,1
3,1,0,3,7,2013,21.0,20.0,0,0,1,1
4,1,0,4,7,2013,14.0,23.0,0,0,1,1
5,1,0,5,7,2013,21.0,107.0,0,0,1,1
6,1,0,6,7,2013,38.0,404.0,0,0,1,1
7,1,0,7,7,2013,57.0,818.0,0,0,1,1
8,1,0,8,7,2013,191.0,1547.0,0,0,1,1
9,1,0,9,7,2013,148.0,807.0,0,0,1,1
10,1,0,10,7,2013,41.0,217.0,0,0,1,1
11,1,0,11,7,2013,43.0,139.0,0,0,1,1
12,1,0,12,7,2013,85.0,353.0,0,0,1,1
13,1,0,13,7,2013,115.0,399.0,0,0,1,1
14,1,0,14,7,2013,107.0,349.0,0,0,1,1
15,1,0,15,7,2013,134.0,452.0,0,0,1,1
16,1,0,16,7,2013,167.0,718.0,0,0,1,1
17,1,0,17,7,2013,228.0,1522.0,0,0,1,1
18,1,0,18,7,2013,254.0,1735.0,0,0,1,1
19,1,0,19,7,2013,275.0,1454.0,0,0,1,1
20,1,0,20,7,2013,209.0,1066.0,0,0,1,1
21,1,0,21,7,2013,169.0,701.0,0,0,1,1
22,1,0,22,7,2013,148.0,524.0,0,0,1,1
23,1,0,23,7,2013,110.0,311.0,0,0,1,1
24,2,1,0,7,2013,67.0,162.0,0,0,1,1
25,2,1,1,7,2013,44.0,56.0,0,0,1,1
26,2,1,2,7,2013,29.0,28.0,0,0,1,1
27,2,1,3,7,2013,32.0,17.0,0,0,1,1
28,2,1,4,7,2013,13.0,17.0,0,0,1,1
29,2,1,5,7,2013,16.0,76.0,0,0,1,1
30,2,1,6,7,2013,28.0,462.0,0,0,1,1
31,2,1,7,7,2013,97.0,1030.0,0,0,1,1
32,2,1,8,7,2013,181.0,1782.0,0,0,1,1
33,2,1,9,7,2013,161.0,1255.0,0,0,1,1
34,2,1,10,7,2013,179.0,702.0,0,0,1,1
35,2,1,11,7,2013,220.0,633.0,0,0,1,1
36,2,1,12,7,2013,221.0,764.0,0,0,1,1
37,2,1,13,7,2013,201.0,632.0,0,0,1,1
38,2,1,14,7,2013,298.0,808.0,0,0,1,1
39,2,1,15,7,2013,268.0,845.0,0,0,1,1
40,2,1,16,7,2013,392.0,1204.0,0,0,1,1
41,2,1,17,7,2013,442.0,2273.0,0,0,1,1
42,2,1,18,7,2013,449.0,2458.0,0,0,1,1
43,2,1,19,7,2013,328.0,1765.0,0,0,1,1
44,2,1,20,7,2013,105.0,457.0,0,0,1,1
45,2,1,21,7,2013,109.0,517.0,0,0,1,1
46,2,1,22,7,2013,82.0,415.0,0,0,1,1
47,2,1,23,7,2013,108.0,317.0,0,0,1,1
48,3,2,0,7,2013,90.0,147.0,0,0,1,1
49,3,2,1,7,2013,44.0,77.0,0,0,1,1
50,3,2,2,7,2013,23.0,50.0,0,0,1,1
51,3,2,3,7,2013,21.0,32.0,0,0,1,1
52,3,2,4,7,2013,13.0,15.0,0,0,1,1
53,3,2,5,7,2013,13.0,96.0,0,0,1,1
54,3,2,6,7,2013,47.0,454.0,0,0,1,1
55,3,2,7,7,2013,89.0,906.0,0,0,1,1
56,3,2,8,7,2013,169.0,1857.0,0,0,1,1
57,3,2,9,7,2013,218.0,1387.0,0,0,1,1
58,3,2,10,7,2013,213.0,720.0,0,0,1,1
59,3,2,11,7,2013,280.0,728.0,0,0,1,1
60,3,2,12,7,2013,330.0,1034.0,0,0,1,1
61,3,2,13,7,2013,373.0,1216.0,0,0,1,1
62,3,2,14,7,2013,126.0,478.0,0,0,1,1
63,3,2,15,7,2013,280.0,1102.0,0,0,1,1
64,3,2,16,7,2013,351.0,1518.0,0,0,1,1
65,3,2,17,7,2013,419.0,1833.0,0,0,1,1
66,3,2,18,7,2013,291.0,1316.0,0,0,1,1
67,3,2,19,7,2013,161.0,652.0,0,0,1,1
68,3,2,20,7,2013,185.0,722.0,0,0,1,1
69,3,2,21,7,2013,165.0,571.0,0,0,1,1
70,3,2,22,7,2013,112.0,467.0,0,0,1,1
71,3,2,23,7,2013,139.0,334.0,0,0,1,1
72,4,3,0,7,2013,88.0,223.0,1,1,0,0
73,4,3,1,7,2013,68.0,152.0,1,1,0,0
74,4,3,2,7,2013,54.0,89.0,1,1,0,0
75,4,3,3,7,2013,40.0,54.0,1,1,0,0
76,4,3,4,7,2013,40.0,44.0,1,1,0,0
77,4,3,5,7,2013,15.0,30.0,1,1,0,0
78,4,3,6,7,2013,31.0,79.0,1,1,0,0
79,4,3,7,7,2013,42.0,151.0,1,1,0,0
80,4,3,8,7,2013,88.0,281.0,1,1,0,0
81,4,3,9,7,2013,156.0,472.0,1,1,0,0
82,4,3,10,7,2013,319.0,646.0,1,1,0,0
83,4,3,11,7,2013,496.0,759.0,1,1,0,0
84,4,3,12,7,2013,738.0,855.0,1,1,0,0
85,4,3,13,7,2013,841.0,880.0,1,1,0,0
86,4,3,14,7,2013,958.0,911.0,1,1,0,0
87,4,3,15,7,2013,1011.0,863.0,1,1,0,0
88,4,3,16,7,2013,989.0,929.0,1,1,0,0
89,4,3,17,7,2013,1020.0,827.0,1,1,0,0
90,4,3,18,7,2013,898.0,755.0,1,1,0,0
91,4,3,19,7,2013,779.0,628.0,1,1,0,0
92,4,3,20,7,2013,736.0,526.0,1,1,0,0
93,4,3,21,7,2013,383.0,374.0,1,1,0,0
94,4,3,22,7,2013,651.0,609.0,1,1,0,0
95,4,3,23,7,2013,332.0,416.0,1,1,0,0
96,5,4,0,7,2013,184.0,237.0,0,0,1,1
97,5,4,1,7,2013,118.0,110.0,0,0,1,1
98,5,4,2,7,2013,65.0,86.0,0,0,1,1
99,5,4,3,7,2013,46.0,37.0,0,0,1,1
100,5,4,4,7,2013,27.0,23.0,0,0,1,1
101,5,4,5,7,2013,15.0,37.0,0,0,1,1
102,5,4,6,7,2013,24.0,202.0,0,0,1,1
103,5,4,7,7,2013,62.0,443.0,0,0,1,1
104,5,4,8,7,2013,137.0,803.0,0,0,1,1
105,5,4,9,7,2013,231.0,721.0,0,0,1,1
106,5,4,10,7,2013,349.0,488.0,0,0,1,1
107,5,4,11,7,2013,449.0,636.0,0,0,1,1
108,5,4,12,7,2013,597.0,810.0,0,0,1,1
109,5,4,13,7,2013,660.0,868.0,0,0,1,1
110,5,4,14,7,2013,659.0,948.0,0,0,1,1
111,5,4,15,7,2013,671.0,953.0,0,0,1,1
112,5,4,16,7,2013,645.0,976.0,0,0,1,1
113,5,4,17,7,2013,632.0,1141.0,0,0,1,1
114,5,4,18,7,2013,609.0,1076.0,0,0,1,1
115,5,4,19,7,2013,530.0,956.0,0,0,1,1
116,5,4,20,7,2013,499.0,723.0,0,0,1,1
117,5,4,21,7,2013,405.0,553.0,0,0,1,1
118,5,4,22,7,2013,298.0,460.0,0,0,1,1
119,5,4,23,7,2013,263.0,380.0,0,0,1,1
120,6,5,0,7,2013,165.0,258.0,0,0,0,0
121,6,5,1,7,2013,109.0,138.0,0,0,0,0
122,6,5,2,7,2013,92.0,111.0,0,0,0,0
123,6,5,3,7,2013,50.0,72.0,0,0,0,0
124,6,5,4,7,2013,55.0,34.0,0,0,0,0
125,6,5,5,7,2013,21.0,40.0,0,0,0,0
126,6,5,6,7,2013,29.0,74.0,0,0,0,0
127,6,5,7,7,2013,65.0,184.0,0,0,0,0
128,6,5,8,7,2013,143.0,317.0,0,0,0,0
129,6,5,9,7,2013,268.0,502.0,0,0,0,0
130,6,5,10,7,2013,382.0,680.0,0,0,0,0
131,6,5,11,7,2013,511.0,724.0,0,0,0,0
132,6,5,12,7,2013,668.0,733.0,0,0,0,0
133,6,5,13,7,2013,613.0,791.0,0,0,0,0
134,6,5,14,7,2013,806.0,796.0,0,0,0,0
135,6,5,15,7,2013,808.0,799.0,0,0,0,0
136,6,5,16,7,2013,781.0,810.0,0,0,0,0
137,6,5,17,7,2013,711.0,893.0,0,0,0,0
138,6,5,18,7,2013,744.0,860.0,0,0,0,0
139,6,5,19,7,2013,635.0,751.0,0,0,0,0
140,6,5,20,7,2013,532.0,696.0,0,0,0,0
141,6,5,21,7,2013,306.0,520.0,0,0,0,0
142,6,5,22,7,2013,268.0,413.0,0,0,0,0
143,6,5,23,7,2013,202.0,307.0,0,0,0,0
144,7,6,0,7,2013,164.0,238.0,0,0,0,0
145,7,6,1,7,2013,112.0,169.0,0,0,0,0
146,7,6,2,7,2013,91.0,121.0,0,0,0,0
147,7,6,3,7,2013,63.0,58.0,0,0,0,0
148,7,6,4,7,2013,54.0,34.0,0,0,0,0
149,7,6,5,7,2013,17.0,43.0,0,0,0,0
150,7,6,6,7,2013,26.0,61.0,0,0,0,0
151,7,6,7,7,2013,54.0,138.0,0,0,0,0
152,7,6,8,7,2013,135.0,251.0,0,0,0,0
153,7,6,9,7,2013,246.0,447.0,0,0,0,0
