,day,dayofweek,hourofday,month,year,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind SpeedMPH
0,1,4,0,1,2010,33.9,32,92.5,29.995,3.5,1.75
1,1,4,1,1,2010,33.9,32.55,94.5,29.985,3.5,0
2,1,4,2,1,2010,33.9,33.45,98,29.98,2.75,0
3,1,4,3,1,2010,33.9,33.45,98,29.975,2.5,0
4,1,4,4,1,2010,34,33.1,96,29.95,2.5,0
5,1,4,5,1,2010,33.45,32.55,96.5,29.96,2.75,2.9
6,1,4,6,1,2010,33.85,32.725,95.75,29.955,3.5,1.75
7,1,4,7,1,2010,35.35,33.45,92.5,29.95,6.5,3.5
8,1,4,8,1,2010,35.43333333,32,87.66666667,29.94333333,4,4.233333333
9,1,4,9,1,2010,35.35,32,88,29.935,5,2.3
10,1,4,10,1,2010,36,30.9,82,29.9,8,6.9
11,1,4,11,1,2010,37,32,82,29.87,8,4.6
12,1,4,12,1,2010,37.9,32,79,29.85,8,3.5
13,1,4,13,1,2010,39.9,32,73,29.83,9,0
14,1,4,14,1,2010,39.9,32,73,29.83,9,4.6
15,1,4,15,1,2010,39.9,32,73,29.82,10,0
16,1,4,16,1,2010,39.55,30.55,70,29.83,10,5.8
17,1,4,17,1,2010,39.55,30.55,70,29.825,10,5.2
18,1,4,18,1,2010,39.9,30.9,70,29.8,10,3.5
19,1,4,19,1,2010,39,30.9,73,29.78,10,5.8
20,1,4,20,1,2010,37.9,28.9,70,29.76,10,9.2
21,1,4,21,1,2010,37.9,28.9,70,29.75,10,0
22,1,4,22,1,2010,35.35,30.1,81.5,29.74,7.5,6.35
23,1,4,23,1,2010,33.9,27.7,78,29.73,5,9.2
24,2,5,0,1,2010,32,21,64,29.71,10,12.7
25,2,5,1,1,2010,32,21,64,29.7,10,11.5
26,2,5,2,1,2010,30,23,75,29.7,7,8.1
27,2,5,3,1,2010,30,21.9,72,29.7,7,11.5
28,2,5,4,1,2010,29.1,22.1,75,29.7,1.75,9.25
29,2,5,5,1,2010,28,24.1,85,29.68,1.8,6.9
30,2,5,6,1,2010,28.2,22,77.5,29.685,6.5,10.4
31,2,5,7,1,2010,28,18,66,29.66,10,12.7
32,2,5,8,1,2010,27,15.1,61,29.67,10,10.4
33,2,5,9,1,2010,27,14,58,29.67,10,11.5
34,2,5,10,1,2010,26.1,12.9,58,29.66,8,17.3
35,2,5,11,1,2010,26.1,12,55,29.64,10,13.8
36,2,5,12,1,2010,26.1,12,55,29.63,10,12.7
37,2,5,13,1,2010,25,10.9,55,29.63,10,11.5
38,2,5,14,1,2010,25,10,53,29.64,10,12.7
39,2,5,15,1,2010,24.1,9,53,29.65,10,12.7
40,2,5,16,1,2010,23,8.1,53,29.66,10,9.2
41,2,5,17,1,2010,21,6.1,53,29.68,10,18.4
42,2,5,18,1,2010,19.9,6.1,55,29.72,10,16.1
43,2,5,19,1,2010,18,3.9,54,29.69,10,15
44,2,5,20,1,2010,17.1,3.9,56,29.68,10,9.2
45,2,5,21,1,2010,17.1,3,54,29.67,10,17.3
46,2,5,22,1,2010,17.1,3,54,29.64,10,15
47,2,5,23,1,2010,17.1,3.9,56,29.61,10,16.1
48,3,6,0,1,2010,17.1,3.9,56,29.59,10,15
49,3,6,1,1,2010,17.1,3,54,29.58,10,19.6
50,3,6,2,1,2010,17.1,3,54,29.57,10,19.6
51,3,6,3,1,2010,18,3.9,54,29.55,10,11.5
52,3,6,4,1,2010,18,3.9,54,29.54,10,10.4
53,3,6,5,1,2010,18,5,57,29.5,10,15
54,3,6,6,1,2010,18,5,57,29.49,10,15
55,3,6,7,1,2010,19,5,54,29.49,10,15
56,3,6,8,1,2010,19.9,6.1,55,29.49,10,12.7
57,3,6,9,1,2010,19.9,6.1,55,29.48,9,16.1
58,3,6,10,1,2010,19.9,7,57,29.48,10,15
59,3,6,11,1,2010,21,3.9,48,29.47,10,13.8
60,3,6,12,1,2010,21.9,5,48,29.47,10,18.4
61,3,6,13,1,2010,21,9,60,29.48,7,17.3
62,3,6,14,1,2010,19.525,10.05,66.5,29.505,4.95,16.425
63,3,6,15,1,2010,19.65,8.8,62.5,29.54,10,17.85
64,3,6,16,1,2010,19,10,68,29.58,9,9.2
65,3,6,17,1,2010,19.9,9,62,29.58,10,10.4
66,3,6,18,1,2010,21,6.1,53,29.6,10,8.1
67,3,6,19,1,2010,21,6.1,53,29.61,10,8.1
68,3,6,20,1,2010,21,7,55,29.62,10,18.4
69,3,6,21,1,2010,19.9,7,57,29.63,10,11.5
70,3,6,22,1,2010,19.9,7,57,29.63,10,12.7
71,3,6,23,1,2010,19.9,7,57,29.65,10,13.8
72,4,0,0,1,2010,19.9,8.1,60,29.64,10,10.4
73,4,0,1,1,2010,19.9,8.1,60,29.66,10,8.1
74,4,0,2,1,2010,19.9,8.1,60,29.66,10,13.8
75,4,0,3,1,2010,19.9,9,62,29.67,10,13.8
76,4,0,4,1,2010,19.9,8.1,60,29.68,10,11.5
